"","ALL_Richness","ALL_prop_Ash_bi","ALL_prop_Aspen_bi","ALL_prop_Basswood_bi","ALL_prop_Beech_bi","ALL_prop_Birch_bi","ALL_prop_Cherry_bi","ALL_prop_Walnut_bi","ALL_prop_Buckthorn_bi","ALL_prop_Dogwood_bi","ALL_prop_Elm_bi","ALL_prop_Grass_bi","ALL_prop_Maple_bi","ALL_prop_Oak","ALL_prop_Poplar_bi","ALL.Dim.1","ALL.Dim.2","ALL.Dim.3","ALL.Dim.4","ALL.Dim.5"
"ALL_Richness",1,0.232652278331814,0.620880775596329,0.455665265568637,0.575967918437756,0.454124556548622,0.337123485919596,0.821776111019941,0.412790609619131,0.636330737037901,0.631683932539084,-0.192460701966691,0.497658906659856,0.017611664314544,0.496726260159562,0.899150768374374,0.174509449868472,0.137962624723433,-0.0770768806192745,0.194179076717053
"ALL_prop_Ash_bi",0.232652278331814,1,0.302753050383217,0.281270493582643,-0.211130844238985,0.281270493582643,-0.18102436800565,-0.967029736536063,-0.831174544218894,-0.967029736536063,-0.962547733032968,-0.870341319280248,-0.054544604289086,-0.190451624966063,-0.831174544218894,-0.0344116575907582,0.401703308290214,-0.771745261745505,-0.383940727802018,0.543585337467422
"ALL_prop_Aspen_bi",0.620880775596329,0.302753050383217,1,0.474197248034482,-0.0446208514690226,0.474197248034482,-0.900585897287709,0.664142885012095,-0.97087888405234,-0.772222283885892,0.31164173521979,-0.837799753887657,-0.382820043885349,-0.119466525918935,-0.97087888405234,0.553178984574678,0.295016576376053,-0.921665676288137,0.382191799322748,0.796784012333989
"ALL_prop_Basswood_bi",0.455665265568637,0.281270493582643,0.474197248034482,1,-0.989215773548852,0.268065887412097,0.44917728815717,-0.81873856064157,-0.849292272205622,0.410341519429574,0.2371182755328,-0.904114231123438,-0.236334238277559,-0.366256584689443,0.235638506101622,0.288193998696815,NA,-0.187352109638985,-0.224021903914331,0.217723145971783
"ALL_prop_Beech_bi",0.575967918437756,-0.211130844238985,-0.0446208514690226,-0.989215773548852,1,0.0454012611828429,-0.343571557697896,0.979648579616346,0.0792244631614065,0.270014657441262,0.285351844666667,0.0144626410233257,0.54018381547003,0.489004684725075,0.0792244631614065,0.651479195694692,-0.783779162638149,0.182716698838658,-0.110835921505715,-0.0226370227957469
"ALL_prop_Birch_bi",0.454124556548622,0.281270493582643,0.474197248034482,0.268065887412097,0.0454012611828429,1,-0.38629972025875,-0.81873856064157,0.235638506101622,0.410341519429574,0.0454012611828429,-0.904114231123438,-0.0644637922652543,-0.298014180793908,-0.849292272205622,0.403028551190392,0.453763751776909,-0.647514415413914,0.156585507858652,-0.332407776659794
"ALL_prop_Cherry_bi",0.337123485919596,-0.18102436800565,-0.900585897287709,0.44917728815717,-0.343571557697896,-0.38629972025875,1,-0.855131180348366,0.107554773611829,0.295596282088613,0.0188773680816037,0.290024717597787,0.213693633084488,-0.540206849619738,0.508855328336696,0.0272401825738961,0.637474333379661,0.837093372742452,-0.409595985310016,0.265882210570544
"ALL_prop_Walnut_bi",0.821776111019941,-0.967029736536063,0.664142885012095,-0.81873856064157,0.979648579616346,-0.81873856064157,-0.855131180348366,1,-0.751237570376479,-0.702881900501282,0.979648579616346,-0.816844307356371,0.920921206273965,0.426682150226271,-0.751237570376479,0.852847328326759,-0.90887179952798,-0.261630602027399,0.0515867395391225,0.754016789466003
"ALL_prop_Buckthorn_bi",0.412790609619131,-0.831174544218894,-0.97087888405234,-0.849292272205622,0.0792244631614065,0.235638506101622,0.107554773611829,-0.751237570376479,1,-0.751237570376479,0.483499850461273,-0.814431716401873,-0.253587646793594,-0.0392114699554479,0.616240401280932,0.339354949368824,0.185738186571238,0.564218279183764,0.999900050007998,-0.300820904411095
"ALL_prop_Dogwood_bi",0.636330737037901,-0.967029736536063,-0.772222283885892,0.410341519429574,0.270014657441262,0.410341519429574,0.295596282088613,-0.702881900501282,-0.751237570376479,1,0.979648579616346,-0.816844307356371,-0.042545891834553,-0.601641772310217,-0.751237570376479,0.596735045192114,0.663563968405545,0.222001831507992,-0.65585973998586,-0.999900000106581
