"","No_logs_per_length","No_logs_per_area","VolCWD_per_length","VolCWD_per_area","No_logjams_per_length","No_logjams_per_area","No_logjam_pieces_per_length","No_logjam_pieces_per_area","VolCWDLJ_per_length","VolCWDLJ_per_area","prop_logjam_pieces","prop_logjam_vol","No_insitu_per_length","No_insitu_per_area","Vol_insitu_per_length","Vol_insitu_per_area","prop_insitu_pieces","prop_insitu_vol","No_ash_per_length","No_ash_per_area","Vol_ash_per_length","Vol_ash_per_area","prop_ash_pieces","prop_ash_vol"
"No_logs_per_length",1,0.716508754789323,0.812022836934325,0.851413469224602,0.172735957991008,0.18710885400385,-0.443260548336168,-0.519732719483917,-0.349031855914114,-0.445909779411586,-0.686902085591065,-0.477952128279075,0.292477785330867,0.173623945957071,0.442623676212625,0.326732648191816,0.076960034540035,0.0719346124741658,0.749203502427414,0.570285457030412,0.64873295858762,0.73592598049139,0.364337415573123,0.300495873081722
"No_logs_per_area",0.716508754789323,1,0.402325694078048,0.756249659516831,-0.306127525241953,-0.0760321131365848,-0.773857017215649,-0.603881278879149,-0.86913104973117,-0.891200209535591,-0.82296372271619,-0.728370141717146,0.704537628501734,0.690905685298687,0.665039407431683,0.744106438668196,0.542542936933595,0.512208288489609,0.725884215543224,0.832535500003489,0.282830258535561,0.547850670406512,0.435777561545297,0.0469081368614727
"VolCWD_per_length",0.812022836934325,0.402325694078048,1,0.888566787050794,-0.0654081218357606,-0.243377669428397,-0.477488232996001,-0.625772296462313,-0.16936497318425,-0.337487430451327,-0.608161403886576,-0.592752891179837,-0.00561498337478822,-0.0823307297053965,0.436031870163846,0.223254597503006,-0.160462999134578,-0.0472620366448791,0.772446835886296,0.475536922357759,0.900460608077901,0.875698666667202,0.509241343944949,0.533024253983824
"VolCWD_per_area",0.851413469224602,0.756249659516831,0.888566787050794,1,-0.324540677522453,-0.343695444969052,-0.76991154046856,-0.769367891672252,-0.589421109823847,-0.719877637930333,-0.834365119001139,-0.836713793381383,0.346571210276934,0.30413147414081,0.683252135890843,0.570789073452413,0.177555038983294,0.267742239609262,0.910072869350003,0.766809881620548,0.791610086201624,0.906285825316272,0.619201024789285,0.430211244612736
"No_logjams_per_length",0.172735957991008,-0.306127525241953,-0.0654081218357606,-0.324540677522453,1,0.925171811271726,0.616774143192147,0.337519157160175,0.692625866515052,0.6614965033775,0.267915339007589,0.666495163412105,-0.20332662548618,-0.328040483090996,-0.493749602010445,-0.518932572976611,-0.24730347804187,-0.395594387299611,-0.271250668764037,-0.400593354632841,-0.185374905186407,-0.30389832015278,-0.322132701420125,-0.0767296585941843
"No_logjams_per_area",0.18710885400385,-0.0760321131365848,-0.243377669428397,-0.343695444969052,0.925171811271726,1,0.541128216891498,0.38538295192323,0.437302365253712,0.473486321083344,0.213779661023747,0.636487101171606,0.0130627755165765,-0.102219527413153,-0.424183119312272,-0.367335776081781,-0.0479227721252386,-0.244839759598015,-0.292673453439329,-0.298548492822062,-0.372753135994034,-0.394910272614516,-0.392841596790862,-0.257771236919862
"No_logjam_pieces_per_length",-0.443260548336168,-0.773857017215649,-0.477488232996001,-0.76991154046856,0.616774143192147,0.541128216891498,1,0.899027927136812,0.801438830885932,0.937130744082765,0.916021498852677,0.980791109675321,-0.649337862977172,-0.720557665776538,-0.781421822536293,-0.861855767560391,-0.577029832857978,-0.642336080183899,-0.836873894495903,-0.928870687634675,-0.416133194715618,-0.638144397060923,-0.765074240667628,-0.280032392360191
"No_logjam_pieces_per_area",-0.519732719483917,-0.603881278879149,-0.625772296462313,-0.769367891672252,0.337519157160175,0.38538295192323,0.899027927136812,1,0.48098819730766,0.711221066090333,0.941831189664127,0.885018196890259,-0.626127782546986,-0.640641751919703,-0.796052681734674,-0.801370075513324,-0.562302241903797,-0.637290789050023,-0.9310239057309,-0.914774233385248,-0.598554631890057,-0.746813970720535,-0.93147184579603,-0.569638624884442
"VolCWDLJ_per_length",-0.349031855914114,-0.86913104973117,-0.16936497318425,-0.589421109823847,0.692625866515052,0.437302365253712,0.801438830885932,0.48098819730766,1,0.957904026786121,0.644076163668385,0.7717426879729,-0.586288818141954,-0.661769540449973,-0.598999591319269,-0.728139316064893,-0.495005621490298,-0.509221356326324,-0.519014681261604,-0.717048823539792,-0.101491368868155,-0.371031298375635,-0.321992621858932,0.127792551614869
"VolCWDLJ_per_area",-0.445909779411586,-0.891200209535591,-0.337487430451327,-0.719877637930333,0.6614965033775,0.473486321083344,0.937130744082765,0.711221066090333,0.957904026786121,1,0.823645512032841,0.907744006380884,-0.664781457615937,-0.734661985142548,-0.723909729688866,-0.835685931598012,-0.570303751093516,-0.603266823046282,-0.713029595237221,-0.868080370075409,-0.263457109829986,-0.528171342749784,-0.55334829960072,-0.064442910788283
