"","Aquatic_Transect_width","Bend","log10Aquatic_InSitFreq_nz","Aquatic_LJFreq_bi","Aquatic_LWDens","Aquatic_LWvolpa","log10Aquatic_pervolinjam_nz","AH.Dim.1","AH.Dim.2","AH.Dim.3","AH.Dim.4","AH.Dim.5"
"Aquatic_Transect_width",1,-0.251327168120945,-0.263310629720427,0.278800676240031,-0.499028757109473,-0.0230375719629852,0.275619509670147,-0.558033292345712,0.0138716539101088,0.548551996363504,0.565091742701747,0.162792788774663
"Bend",-0.251327168120945,1,-0.0220775587029248,-0.0141823714058085,0.604455262103355,0.585250403589088,-0.383107898114549,0.718932791559208,0.27942056236646,0.471548560655099,-0.318605221766813,0.389290920596685
"log10Aquatic_InSitFreq_nz",-0.263310629720427,-0.0220775587029248,1,-0.104314502079518,0.448496610647031,0.148519171738386,-0.195389764824817,0.440043941042326,0.108525510805563,-0.636427516927099,0.556642502419115,0.221776441657281
"Aquatic_LJFreq_bi",0.278800676240031,-0.0141823714058085,-0.104314502079518,1,0.286544648696442,-0.0378245868341359,0.812640200381949,-0.362488645112418,0.922437061836688,0.0871287652312625,0.0522102814537016,-0.0938611244353768
"Aquatic_LWDens",-0.499028757109473,0.604455262103355,0.448496610647031,0.286544648696442,1,0.526340684471673,-0.197497670820324,0.741417871485862,0.59262180158661,-0.146151337187404,-0.0382699341025771,-0.062344488359096
"Aquatic_LWvolpa",-0.0230375719629852,0.585250403589088,0.148519171738386,-0.0378245868341359,0.526340684471673,1,-0.53095204780687,0.722858778175212,0.157135402710732,0.496376682262455,0.301159375508009,-0.258287558493094
"log10Aquatic_pervolinjam_nz",0.275619509670147,-0.383107898114549,-0.195389764824817,0.812640200381949,-0.197497670820324,-0.53095204780687,1,-0.748645113563851,0.624375132432865,-0.147193121780628,-0.0894141076659401,0.0341379483590939
"AH.Dim.1",-0.558033292345712,0.718932791559208,0.440043941042326,-0.362488645112418,0.741417871485862,0.722858778175212,-0.748645113563851,1,-0.00578288546146922,0.0208072828125522,-0.0170986641125962,0.0300693006698465
"AH.Dim.2",0.0138716539101088,0.27942056236646,0.108525510805563,0.922437061836688,0.59262180158661,0.157135402710732,0.624375132432865,-0.00578288546146922,1,0.0189533992359619,-0.0114470578508966,0.0142253486462907
"AH.Dim.3",0.548551996363504,0.471548560655099,-0.636427516927099,0.0871287652312625,-0.146151337187404,0.496376682262455,-0.147193121780628,0.0208072828125522,0.0189533992359619,1,-0.0245273915258679,0.0417825080672647
"AH.Dim.4",0.565091742701747,-0.318605221766813,0.556642502419115,0.0522102814537016,-0.0382699341025771,0.301159375508009,-0.0894141076659401,-0.0170986641125962,-0.0114470578508966,-0.0245273915258679,1,-0.0326543481686542
"AH.Dim.5",0.162792788774663,0.389290920596685,0.221776441657281,-0.0938611244353768,-0.062344488359096,-0.258287558493094,0.0341379483590939,0.0300693006698465,0.0142253486462907,0.0417825080672647,-0.0326543481686542,1
