"","Stream","Watershed","Gap_location","Aquatic_Transect_width","Terrestrial_Transect_Live_Richness","Gap_Diameter","Gap_Area","Year_Gapformation","Terrestrial_Total_Snag_Density","Terrestrial_Ash_Snag_Density","Terrestrial_Elm_Snag_Density","Terrestrial_Total_CWD_Density_m","Terrestrial_Ash_CWD_Density_m","Terrestrial_Elm_CWD_Density_m","Terrestrial_1_CWD_Density_m","Terrestrial_2_CWD_Density_m","Terrestrial_3_CWD_Density_m","Terrestrial_Total_Live_Density","Terrestrial_Ash_Live_Density","Terrestrial_Elm_Live_Density","Terrestrial_Basswood_Live_Density","Terrestrial_Oak_Live_Density","Terrestrial_Cherry_Live_Density","Terrestrial_Hickory_Live_Density","Terrestrial_Acer_Live_Density","Terrestrial_Beech_Live_Density","Terrestrial_Buckthorn_Live_Density","Terrestrial_Walnut_Live_Density","Terrestrial_Hophornbeam_Live_Density","Terrestrial_Aspen_Live_Density","Aquatic_LWFreq","Aquatic_InSitFreq","Aquatic_LJFreq","Aquatic_LWDens","Aquatic_LWvolpL","Aquatic_LWvolpa","Aquatic_JvolpL","log10Gap_Area","log10Year_Gapformation","Year_Gapformation_t","log10Terrestrial_Total_Live_Density","log10Terrestrial_Ash_Live_Density","sqrtTerrestrial_Ash_Live_Density","Terrestrial_Ash_Live_Density_bi","log10Terrestrial_Elm_Live_Density","sqrtTerrestrial_Elm_Live_Density","Terrestrial_Elm_Live_Density_bi","log10Terrestrial_Basswood_Live_Density","sqrtTerrestrial_Basswood_Live_Density","Terrestrial_Basswood_Live_Density_bi","log10Terrestrial_Oak_Live_Density","log10Terrestrial_Cherry_Live_Density","sqrtTerrestrial_Cherry_Live_Density","Terrestrial_Cherry_Live_Density_bi","log10Terrestrial_Hickory_Live_Density","Terrestrial_Hickory_Live_Density_bi","log10Terrestrial_Acer_Live_Density","log10Terrestrial_Beech_Live_Density","sqrtTerrestrial_Beech_Live_Density","Terrestrial_Beech_Live_Density_bi","log10Terrestrial_Buckthorn_Live_Density","sqrtTerrestrial_Buckthorn_Live_Density","Terrestrial_Buckthorn_Live_Density_bi","log10Terrestrial_Hophornbeam_Live_Density","sqrtTerrestrial_Hophornbeam_Live_Density","Terrestrial_Hophornbeam_Live_Density_bi","log10Terrestrial_Aspen_Live_Density","sqrtTerrestrial_Aspen_Live_Density","Terrestrial_Aspen_Live_Density_bi","log10Terrestrial_Total_Snag_Density","log10Terrestrial_Elm_Snag_Density","sqrtTerrestrial_Elm_Snag_Density","Terrestrial_Elm_Snag_Density_bi","log10Terrestrial_Total_CWD_Density","log10Terrestrial_Ash_CWD_Density","log10Terrestrial_2_CWD_Density","log10Terrestrial_3_CWD_Density"
"Stream",1,NA,0,-0.396484655194201,-0.0407531285340164,-0.656954846566817,-0.618281294550263,NA,0.522640569448375,0.595408258003206,0.0523041326780784,0.40833655910257,0.425303216969656,-0.153166187047467,0.46455656191187,0.591413544725476,0.0120988731889791,-0.686859368458858,0.135442531706236,0.140353217358373,0.358761483442448,-0.688950947453427,0.0520189428059688,0.169043206741384,-0.303511267690453,-0.179570531390972,0.129770865772726,0.0774387818839552,-0.091870055836461,-0.64631640558506,-0.331323286778862,0.272008451825648,-0.330194271388047,-0.0583350729980729,-0.327512861595607,-0.207094344822046,-0.343863817380743,-0.468184125161332,NA,NA,-0.64877755840376,0.161737968585902,0.200473809997247,0.489485669605941,0.149012381494617,0.14696008041471,0.122863229433271,0.404407483170202,0.397462719313444,0.392522785197031,-0.598214214711167,-0.00180491604892816,0.0248531813254721,-0.176053643005582,0.169043206741384,0.317278639361531,-0.217658760619387,-0.167583063033636,-0.175976995793795,-0.19906930437065,0.140970680571271,0.136426268326953,0.0846082620067703,-0.120883507101879,-0.105910373205736,-0.297850830238434,-0.646187257384819,-0.646236376906115,NA,0.340108661231874,0.0428066361716946,0.049209373047396,0,0.288665181673859,0.224278145978213,0.386625438097621,0.181241076994384
"Watershed",NA,1,0,0.459608625051826,0.107023526798476,0.544583608095632,0.459005238111224,0.999900013057999,-0.569032180201271,-0.750560775963652,0,-0.396442110750268,-0.537278286674089,0.413032351375574,-0.476212835816214,-0.604719486379908,-0.000724209996671489,0.698813914744279,-0.285703067462719,-0.0685679173112915,-0.663568239725002,0.771758378683986,-0.0372208188573951,-0.244329459116688,0.235736610004171,0.440091430647666,-0.047165896596925,0,0.0487683338371354,0.603806962449797,0.362721626946957,-0.479603825909577,0.301056011281927,0.0267958906884275,0.350680516799623,0.220906989680237,0.294722550154479,0.245318847097424,0.999900014429347,0.999900013057999,0.681478854798192,-0.307443933185759,-0.337620869673737,-0.62281284813948,-0.0877898646425159,-0.0810216886287732,0,-0.574069442249553,-0.630790150799255,-0.550042823219401,0.68768530362115,0.0164526864236529,-0.0110951560626234,0.254338485817487,-0.244329459116822,-0.415258267019281,0.207203834925365,0.329512227987095,0.388514056915618,0.263392028059934,-0.0544127681816864,-0.0514275636884798,-1.77635683940025e-12,0.0897820145283804,0.0680884043165959,0.313488620473125,0.60271578718249,0.603092805484915,0.986639067545421,-0.440349156329706,3.5527136788005e-12,0,0,-0.279443138605645,-0.32948877300314,-0.385378435281108,-0.241058880993031
"Gap_location",0,0,1,0,-0.158410826636679,0,0,1.4210854715202e-13,0.0228827420192718,-0.113178246232265,0,-0.0971896728970206,-0.160455780146821,0.413032351375574,-0.130046656258924,0.230499782614302,-0.311702688608407,-0.0915433851675879,-0.599573052338684,0,0.0174457143570014,-0.254333863274792,0.277428872121943,0,0.191278786602438,0.243814790903991,0.379173400290185,0.313788240032778,-0.451315669170341,-0.275620264595556,-0.211920304552072,-0.281765636151379,0.0614355949137419,-0.325129264681733,-0.0195621540377449,-0.111519307660728,0.447831993081891,0,0,3.5527136788005e-12,-0.0647449187107315,-0.588315301823535,-0.561226420586618,-0.62281284813948,0,0,0,-0.161892446881604,-0.0565564217913837,-0.380992954560085,-0.194594574784784,0.260042307023414,0.267916912490844,0.263392028059934,0,0,0.161059075980741,0.0275301649420252,0.135911575401263,-0.254338485817122,0.324282110821803,0.351319638234593,0.263392028059934,-0.386312118021675,-0.422553053131059,-0.3134886204731,-0.257273833587447,-0.265359928098703,-0.415258267019281,-0.0615109069114947,3.5527136788005e-12,0,0,-0.0839006974755024,-0.322200483999069,0.434630821785465,-0.317839846016848
"Aquatic_Transect_width",-0.396484655194201,0.459608625051826,0,1,0.0707051544942181,0.56160653731062,0.49063194162637,0.237874120169733,-0.134007906452974,-0.164952047968965,-0.248828454446176,-0.290598875578344,-0.199451193608356,-0.0956489568738901,-0.207269476972239,0.0686503442731897,-0.2999645604636,0.337324220538367,-0.170284166709548,-0.555839348551145,-0.201354132256849,0.471536006723986,0.383053209149073,-0.446326287744751,0.150862686694063,-0.0399879190752827,-0.200469621907983,-0.358798848065403,0.106418247478734,0.479455149712639,-0.108614987855396,-0.435019871847873,0.142417127516734,-0.494327729523009,0.268549463444038,-0.0182501819597842,0.455427714639863,0.424509896410525,0.237508127784266,0.237874120169733,0.266064201939488,-0.155386918771172,-0.131557845582248,-0.0598251729620471,-0.599028510794963,-0.580574436904666,-0.712910930985606,0.0455922491861475,-0.0899753890135238,0.361126511895384,0.623260246956952,0.395930515248998,0.389769745258177,0.525931234806763,-0.446326287744751,-0.796869737620593,-0.00334482349105285,-0.0594296648860581,-0.0505704704457637,-0.0686291026634094,-0.164148441422785,-0.183245062821789,0.0235253109684402,0.112691020434423,0.109874425175365,0.192319722721591,0.4812907775728,0.480663138898181,0.986341628030574,-0.292755494742536,-0.230690087330225,-0.243386956829698,-0.207462842917776,-0.436058375419582,-0.288989393383194,0.0438080030044258,-0.484944490750202
"Terrestrial_Transect_Live_Richness",-0.0407531285340164,0.107023526798476,-0.158410826636679,0.0707051544942181,1,-0.0767731490092667,-0.108667688205676,0.080582296402538,0.520720465989337,0.222105623934348,0.30149926745755,-0.0365536314834899,0.108812751688876,-0.128836780420654,0.22831232973395,0.187264435344998,-0.301222435010364,-0.190101618901017,-0.0487594776116668,0.329584528453619,-0.0992803510269981,-0.187059072332287,0.168560606060606,-0.0833333333333333,-0.177524588415401,-0.150815667726376,0.332243016038225,0.26086186029041,0.23665076426961,0.143274884340057,-0.17516206919997,-0.327731277354301,-0.238131624573989,-0.158728297182652,0.0348813981442519,0.0237216842778415,-0.230126380630742,-0.200888391150707,0.0806709273354967,0.080582296402538,-0.0968529308921524,-0.0287262381336504,0.00168704408407168,0.164124927726371,0.326084573813322,0.326290390078803,0.511928993604028,-0.0662475252565557,-0.0962978529454359,0.238962984004597,-0.0447083520076373,0.232425529861463,0.196744955869449,0.702042549550993,-0.0833333333333333,-0.156215090214248,0.0901597523915007,-0.0233583304949447,-0.0941305107166111,0.348102680434206,0.398030073701671,0.366351068787126,0.71231550119218,0.33166374541365,0.282458793292113,0.778201049524587,0.157072686525957,0.151016349306424,0.296085510176105,0.690106387867002,0.374969445431723,0.327703393684874,0.992090692710741,0.256015755269089,0.230083128859991,0.217031198607176,0.0388225023831463
"Gap_Diameter",-0.656954846566817,0.544583608095632,0,0.56160653731062,-0.0767731490092667,1,0.991755177821962,0.405329934749851,-0.147578412582077,-0.110948778544595,-0.173194753407832,-0.241277802721542,-0.106381887262875,-0.160328364126038,-0.18210627294583,-0.104274264693873,-0.14846257022327,0.569084705159612,-0.138372796168029,-0.316361682900369,0.0387038473846151,0.60251737999489,0.28201045928688,-0.139836807124022,0.0229456618625886,-0.182269808996748,-0.151788385126301,-0.239387463285098,-0.194817419227911,0.771692596130184,-0.0394111869955816,-0.148268343199246,0.136310388362174,-0.209496312770276,0.0845671380427941,-0.0726231827743645,0.399972765943392,0.938020808416793,0.405075640389338,0.405329934749851,0.415673106710804,-0.143070942527848,-0.148847607423921,-0.354254661484815,-0.322532395012031,-0.320206112128475,-0.87779984439307,0.220359591158481,0.122889664484366,0.364310454629567,0.575191165441534,0.290298541803962,0.289530585783577,0.139164211926362,-0.139836807124022,-0.378756916662001,-0.180566171304611,-0.255158217699839,-0.219118464595899,-0.924578115559869,-0.124871351012449,-0.139491557127309,0.0861089239259443,-0.223159046429121,-0.209072559502965,-0.800701710860488,0.774647075667603,0.773636878741908,NA,-0.103323839891696,-0.196958717957652,-0.181911093782976,-0.771936475122698,-0.19912296187755,-0.120681476892164,0.00324782993885246,-0.177790485149188
"Gap_Area",-0.618281294550263,0.459005238111224,0,0.49063194162637,-0.108667688205676,0.991755177821962,1,0.358465428496782,-0.132472588501181,-0.0708016000686427,-0.189617294608003,-0.218602303142868,-0.0665513731555057,-0.192005418297254,-0.17182101473686,-0.101716777838447,-0.121613212269515,0.539348923367068,-0.0839720200877172,-0.33117499233877,0.0927733909463186,0.557790609386791,0.256272879777119,-0.106355609733215,0.0226506086054537,-0.208486330112822,-0.181745325176113,-0.263493769333176,-0.181743050491682,0.753709989193618,-0.0352394776536067,-0.0659228235885195,0.129548578710966,-0.170110604542843,0.0685910853224395,-0.0650512454674501,0.377831343108884,0.967856578663143,0.358248714778089,0.358465428496782,0.380587989558752,-0.0904274869362936,-0.0993256384353533,-0.248502710422273,-0.329930126049351,-0.331084299907337,-0.737824412820599,0.261625556622044,0.171901993189393,0.391621627143626,0.514361381553239,0.263939821731613,0.263545351642792,0.107439872900706,-0.106355609733215,-0.245086499484517,-0.184517108630793,-0.276977809237836,-0.243666934417719,-0.908752553582563,-0.158137477023331,-0.171213287738892,0.0372968397146666,-0.212409433195483,-0.197029268663477,-0.749597991803947,0.756595621051936,0.75560896455456,NA,-0.065962034445724,-0.210687331422153,-0.197460172848532,-0.754958780864792,-0.172610527703033,-0.0638618876459176,0.00943956830090076,-0.13005595014619
"Year_Gapformation",NA,0.999900013057999,1.4210854715202e-13,0.237874120169733,0.080582296402538,0.405329934749851,0.358465428496782,1,-0.452051084175142,-0.546376597347639,0.0286010355720677,-0.343166533568125,-0.408200591320632,0.275863604956785,-0.390207298283751,-0.559264486691287,0.0417005914022481,0.572541084408043,-0.18859923251214,0.00250948140109042,-0.423356892422184,0.584949307736135,-0.114463489208151,-0.141019018704442,0.249842290093368,0.286204865355471,-0.0434155219395656,0.0394140895238236,0.0778050370834645,0.401051403682825,0.360502649837741,-0.305947617650349,0.298379640671015,0.122167572378446,0.30388923601749,0.226119535392885,0.209929888113829,0.199824301031221,0.999999824888619,1,0.603392157899767,-0.214477415633697,-0.251487263612521,-0.52732465768493,-0.00655968008235056,-0.00437551427326569,0.105449201730729,-0.510960050313591,-0.481490761996468,-0.557560346813953,0.521929419427867,-0.0692617273059184,-0.0924831748284912,0.147329158199565,-0.141019018704442,-0.259895267375382,0.230743416961219,0.271395967986156,0.282820921777231,0.324143784885501,-0.0586608224870214,-0.0517486054785103,-0.0438826388160964,0.117565142478871,0.0968733574525232,0.361245367101536,0.40258685727092,0.402061854313683,0.938874310032638,-0.340526438991193,0.0329397630067395,0.0301828269420318,0.0826589581380213,-0.208989740901746,-0.228351911879636,-0.382084885032988,-0.133951900776551
"Terrestrial_Total_Snag_Density",0.522640569448375,-0.569032180201271,0.0228827420192718,-0.134007906452974,0.520720465989337,-0.147578412582077,-0.132472588501181,-0.452051084175142,1,0.904332196802281,0.0741142921576917,0.469297536042367,0.763251858357117,-0.187944238655312,0.685579919245611,0.699337262974042,-0.128799765362729,-0.402442572060285,0.170105276112818,0.139223556230985,0.258432400095529,-0.341004992566403,0.0154548715127172,-0.195894041118992,-0.32778529466741,-0.256975395056147,0.463579489314153,0.210426624821768,-0.0236693969405173,-0.084228314899774,-0.155626623999156,0.180689706637853,-0.221109333937136,-0.0279510349813925,-0.261928455253036,-0.198410703876685,0.0135239840701674,-0.0738715511117827,-0.452071581538429,-0.452051084175142,-0.441001807361242,0.223988938048198,0.30306553590145,0.634261504865549,0.174961077572789,0.157466143443907,0.269716623590207,0.292368072184192,0.271590029420421,0.561435262062251,-0.269364981311547,0.0221099997001701,0.0185411596500014,0.0762848581261925,-0.195894041118992,-0.573110660218543,-0.160470462049779,-0.274800607321439,-0.26925215493913,-0.489504638724823,0.533324628562178,0.500540202689724,0.751044147218559,-0.0136428775616344,-0.0190667731181644,0.0307593829367499,-0.0774091633260297,-0.0804622963301379,-0.162957373270519,0.793264078001431,0.0753914360142084,0.0747887811613192,0.114849007807383,0.520752613509061,0.631561272746165,0.567086804829432,0.232032272919129
"Terrestrial_Ash_Snag_Density",0.595408258003206,-0.750560775963652,-0.113178246232265,-0.164952047968965,0.222105623934348,-0.110948778544595,-0.0708016000686427,-0.546376597347639,0.904332196802281,1,-0.0912195443766264,0.573838389996228,0.886121390775078,-0.182458656451284,0.785290065578469,0.700919865513779,0.00153704746445095,-0.329260252600403,0.324562066571787,-0.0259605413816719,0.351152845700067,-0.29280735726143,-0.13974781379088,-0.0888583909708275,-0.237157846628104,-0.174223391502377,0.214482770752823,-0.0485543446192218,0.0167768864205236,-0.117237093552467,0.0118432190453832,0.421222014165808,-0.0174912399907365,0.149500832120723,-0.211449636200939,-0.113539610483538,0.0905969807207499,0.0422648862595409,-0.546407663269815,-0.546376597347639,-0.430575886416786,0.379215695052734,0.458046392028528,NA,0.0210239962501139,-0.000811311332790768,0.030681476799235,0.375119992933399,0.361179979732301,0.628350689086693,-0.282412798776473,-0.156396264889898,-0.146789371475904,-0.639390078516687,-0.0888583909708275,-0.228890453913414,-0.162008156463641,-0.179300679455425,-0.178470915399882,-0.369472652232425,0.274667801721606,0.245941705518012,0.404033534275102,-0.0172008625642057,0.000877805766222989,-0.23762150150691,-0.118609826295059,-0.118047120150519,-0.354852623507714,0.615955801606778,-0.106507788546988,-0.0967628564948197,-0.429815323945314,0.51973147690745,0.69681532829755,0.513316940375695,0.305352923536827
