"","Stream_name","Gap_number","Gap_location","Date","Ash","Aspen","Basswood","Beech","Birch","Black Cherry","Black Walnut","Box Elder","Buckthorn","Dogwood","Elm","European Alder","Grass","Hawthorn","Maple","Oak","Pine Needles","Poplar","Unknown","Water bug","Willow","Woody Debris","Totalmass"
"1","Augusta Creek","I","Downstream","11/12/16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,3.45
"2","Augusta Creek","I","Downstream","2/4/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39,0,0,0,1.59,0,0,0,3.98
"3","Augusta Creek","I","Downstream","8/30/16",0,0,0.44,0,0,0.14,0,0,0,0,0,0,0,0,0.23,0.85,0,0,0.33,0,0,0,1.99
"4","Augusta Creek","I","Gap","11/12/16",0,0,0,0,0,0.08,0,0,0.16,0,0.43,0,0,0,0,0.18,0,1.26,1.81,0,0,0,3.92
"5","Augusta Creek","I","Gap","2/4/17",0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,4.14,0,0,2.51,0,0,0.12,6.78
"6","Augusta Creek","I","Gap","8/30/16",0,0,0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0,0.28,0,0.02,0,1.52
"7","Augusta Creek","I","Upstream","11/12/16",0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.83,0.41,0,1.46,5.48,0,0,0,8.68
"8","Augusta Creek","I","Upstream","2/4/17",0,0.08,1.05,0,0.12,0,0,0,0,0,0.69,0,0,0,0,1.71,0,0,0.62,0,0,0,4.27
"9","Augusta Creek","I","Upstream","8/30/16",0,0,1.97,0,0,0.17,0,0,0,0,0.08,0,0,0,0.39,0.25,0,0,1.44,0,0,0,4.3
"10","Augusta Creek","II","Downstream","11/12/16",0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0.24,1.81,0,0,0.98,0,0,0,3.54
"11","Augusta Creek","II","Downstream","2/4/17",0,0,1.22,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02,0,0,0,3.19
"12","Augusta Creek","II","Downstream","8/30/16",0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71,0.08,0,0.45,3.55
"13","Augusta Creek","II","Gap","11/12/16",0,0,0,0,0,0,0,0,0.04,0,0.37,0,0,0,0.35,1.34,0,0,0.86,0,0,0,2.96
"14","Augusta Creek","II","Gap","2/4/17",0.12,0,0.58,0,0.42,0,0,0,0,0,0,0,0,0,0,0.94,0,0,1.56,0,0,0,3.62
"15","Augusta Creek","II","Gap","8/30/16",0,0,0,0,0,0.13,0,0,0,0,0,2.52,0,0,0,0,0,0,0.19,0,0,0,2.84
"16","Augusta Creek","II","Gap","9/25/15",0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0.24,0,0,0.49,0,0,0,0.84
"17","Frayer Creek","I","Downstream","11/20/16",0,0.13,0,0.21,0,0,0.21,0,0,0,0.27,0,0,0,0.93,1.91,0,0,3.05,0,0,0,6.71
"18","Frayer Creek","I","Downstream","2/12/17",0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,2.38,0,0,4,0,0,0,6.46
"19","Frayer Creek","I","Downstream","8/30/16",0,0,0.4,0,0.1,0,0,0,0,0.16,0.47,0,0,0,0,0,0,0,1.18,0,0,0,2.31
"20","Frayer Creek","I","Gap","11/20/16",0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,4.2,0,0,0,9.21
"21","Frayer Creek","I","Gap","2/12/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,15.42,0,0,0,18.62
"22","Frayer Creek","I","Gap","8/30/16",0,0,2.92,0,0,0.59,0,0,0,0,0.19,0,0,0,0,0,0,0,3.62,0,0,0,7.32
"23","Frayer Creek","I","Upstream","11/20/16",0,0,0,0.43,0,0,0.16,0,0,0,0.44,0,0,0,0.16,4.11,0,0,0.04,0,0,0,5.34
"24","Frayer Creek","I","Upstream","2/12/17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.37,0,0,4.8,0,0,1.6,20.77
"25","Frayer Creek","I","Upstream","8/30/16",0,0,0,0.23,0.14,0,0,0,0.06,0,0.17,0,0,0,0.46,0.23,0,0,0.4,0,0,0,1.69
"26","Frayer Creek","II","Downstream","11/20/16",0,0,0,0.51,0,0,0,0,0,0,0.16,0,0,0,0,3.55,0,0,0.26,0,0,0,4.48
