"","Stream","Gap_location","Date","Weather","Water_temp","mS_cmc","mScm","X.DO","Doch","pH","pH_mV","ORP","NTU","Volt","Flow"
"Stream",1,0,-0.156433856682641,0.0437071681577418,0.154600316142832,0.460865370534155,0.450719898912534,-0.0544794478611069,0.26427297647908,-0.252953885822099,0.244058267259177,-0.185518564681651,-0.173506731067096,0.0654924511141134,0.359488541047897
"Gap_location",0,1,0,0,0.0139632121990166,-0.0580904548350093,-0.0291309807443092,0.40438016381463,-0.174775809908972,-0.297867087834537,0.298615720417485,-0.259676855574324,-0.163220108700803,0.546998219767309,-7.105427357601e-12
"Date",-0.156433856682641,0,1,0.117233384298585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117619002898812
"Weather",0.0437071681577418,0,0.117233384298585,1,0.585797850508145,0.0365235500644327,0.389518085072453,0.276896573873141,-0.441995740164717,-0.198337079163831,0.0909415502444598,0.0552225398544237,0.236809779519444,-0.220274024931089,0.582121853473556
"Water_temp",0.154600316142832,0.0139632121990166,NA,0.585797850508145,1,0.108640556184721,0.575925764060174,0.191025951820622,-0.499245121519825,-0.372172100880355,0.19241092495603,-0.0303795687892765,-0.0191475994322355,-0.155885854451985,0.756849340546982
"mS_cmc",0.460865370534155,-0.0580904548350093,NA,0.0365235500644327,0.108640556184721,1,0.859896494395628,-0.147990968122421,0.227827020978509,-0.00818689301768998,-0.00202868670961445,0.0752695895018658,-0.0727689676899641,-0.0211299441775342,0.856766536399742
"mScm",0.450719898912534,-0.0291309807443092,NA,0.389518085072453,0.575925764060174,0.859896494395628,1,0.011642655962333,-0.0626606659037884,-0.200985415467842,0.103864368823658,0.0559681493275028,-0.0789840552778704,-0.0779648079640624,0.926614534122717
"X.DO",-0.0544794478611069,0.40438016381463,NA,0.276896573873141,0.191025951820622,-0.147990968122421,0.011642655962333,1,-0.0368893407586498,-0.388898305500822,0.364472843157242,-0.501400470605876,0.0405390842950235,0.0976937129878182,0.142063775805868
"Doch",0.26427297647908,-0.174775809908972,NA,-0.441995740164717,-0.499245121519825,0.227827020978509,-0.0626606659037884,-0.0368893407586498,1,0.0609964131940555,0.0474043645085441,-0.314914367979503,-0.0651343491717966,0.15631339795637,-0.132234029516108
"pH",-0.252953885822099,-0.297867087834537,NA,-0.198337079163831,-0.372172100880355,-0.00818689301768998,-0.200985415467842,-0.388898305500822,0.0609964131940555,1,-0.981288416074271,0.361409292192526,-0.251176585705785,0.0317325260344306,0.193273808067834
"pH_mV",0.244058267259177,0.298615720417485,NA,0.0909415502444598,0.19241092495603,-0.00202868670961445,0.103864368823658,0.364472843157242,0.0474043645085441,-0.981288416074271,1,-0.382532525196515,0.274533630874995,-0.00532870698380978,-0.35815448951604
"ORP",-0.185518564681651,-0.259676855574324,NA,0.0552225398544237,-0.0303795687892765,0.0752695895018658,0.0559681493275028,-0.501400470605876,-0.314914367979503,0.361409292192526,-0.382532525196515,1,0.00388944452464506,-0.188060752479745,-0.0650153570945429
"NTU",-0.173506731067096,-0.163220108700803,NA,0.236809779519444,-0.0191475994322355,-0.0727689676899641,-0.0789840552778704,0.0405390842950235,-0.0651343491717966,-0.251176585705785,0.274533630874995,0.00388944452464506,1,-0.459523877403114,-0.286056972241568
"Volt",0.0654924511141134,0.546998219767309,NA,-0.220274024931089,-0.155885854451985,-0.0211299441775342,-0.0779648079640624,0.0976937129878182,0.15631339795637,0.0317325260344306,-0.00532870698380978,-0.188060752479745,-0.459523877403114,1,-0.0441739304939982
"Flow",0.359488541047897,-7.105427357601e-12,0.117619002898812,0.582121853473556,0.756849340546982,0.856766536399742,0.926614534122717,0.142063775805868,-0.132234029516108,0.193273808067834,-0.35815448951604,-0.0650153570945429,-0.286056972241568,-0.0441739304939982,1
