"","Gap_location","Aquatic_Transect_width","Terrestrial_Transect_Live_Richness","Gap_Area","Year_Gapformation","Aquatic_LWDens","Aquatic_LWvolpL","log10Terrestrial_Total_Live_Density","Terrestrial_Ash_Live_Density_bi","Terrestrial_Basswood_Live_Density_bi","Terrestrial_Oak_Live_Density_bi","log10Terrestrial_Total_CWD_Density_nz","Terrestrial_2_CWD_Density_bi","log10Aquatic_InSitFreq_nz","Aquatic_pervolinjam","ALL_Richness","ALL_prop_Ash","ALL_prop_Aspen","ALL_prop_Basswood","ALL_prop_Beech","ALL_prop_Hophornbeam","ALL_prop_Black_Cherry","ALL_prop_Black_Walnut","ALL_prop_Buckthorn","ALL_prop_Dogwood","ALL_prop_Elm","ALL_prop_Grass","ALL_prop_Maple","ALL_prop_Oak","ALL_prop_Unknown","ALL_prop_Woody_Debris","Water_temp","log10mScm"
"Gap_location",1,-0.0191579017091825,-0.10850436462784,0.011041956761314,0.0190053495549105,-0.333165405974219,0.0187412997036843,-0.0274251942571694,-0.493347910178845,-0.322610545631627,0.0366304332658793,-0.0913768064206082,0.574592578704838,-0.12118624190318,0.220937188789151,-0.125685980589714,-0.127632786918153,-0.198535961910992,-0.211839436020834,0.0919039846320025,0.109825124550183,-0.117950017372314,0.00445692312332447,-0.0895111796602381,0.410829427903576,0.280114469728755,0.045261424367726,-0.0029723754946301,-0.110553425790219,0.19187289949282,0.0758634564131261,-0.0262539297781895,0.0741947697830591
"Aquatic_Transect_width",-0.0191579017091825,1,0.0841768893274456,0.513464946220364,0.231011729483351,-0.497964589952337,0.293347879779765,0.252659246786903,-0.126682287962519,0.311630531592418,0.594411067210713,-0.420708794090334,0.0963832821656841,-0.24584563151876,0.276214521038402,0.129545687720965,-0.256701188126407,0.153359176336343,0.247397356226034,-0.114711497346775,-0.400125564063711,0.17238499091573,-0.235302400119717,0.0386783307824163,-0.178706538695107,-0.0314816531157966,0.217993372879416,0.177139093561287,-0.133823318701654,-0.037344684140022,-0.28964070000568,-0.071364940254219,-0.425969847965492
"Terrestrial_Transect_Live_Richness",-0.10850436462784,0.0841768893274456,1,-0.0901840440866894,0.0678820547671058,-0.15163027871748,0.0501672466833745,-0.126232218801104,0.0763231907763573,0.177624246482817,0.130019181363568,0.290613947407735,0.362317506861636,-0.4456464919432,0.0634699243052492,0.0601583541314901,-0.0592672267542679,0.0822829223262471,-0.0738846237774654,-0.113249039152117,-0.15006910056888,0.0272242184516396,0.0429874844235253,0.156935409185813,-0.0198071422362439,-0.148763874859642,0.146169329054971,0.040453630144628,0.0437719211976744,-0.0158813231888136,-0.0408248218944929,0.0172702115613147,-0.109577580723083
"Gap_Area",0.011041956761314,0.513464946220364,-0.0901840440866894,1,0.357985764282281,-0.183903271190982,0.111515989531018,0.383552604510414,-0.255917760300972,0.346671988650735,0.459116174944704,-0.16745423641391,0.183882497654095,-0.169711337862934,0.117247169001835,-0.0285336583627432,0.0243051030988088,0.361590870233118,0.224000679560878,-0.25509515681737,-0.0214070743669213,-0.00467517960965707,-0.179231133497057,0.159829704328258,-0.152592531486265,-0.0442934637672698,-0.0335014177643944,-0.136575203787941,-0.236892354720392,0.147888035624843,0.0238447278697085,-0.0329711187712915,-0.167261042027279
"Year_Gapformation",0.0190053495549105,0.231011729483351,0.0678820547671058,0.357985764282281,1,0.117808924381735,0.31771258611447,0.6327851557588,-0.472153949385783,-0.447460276842634,0.149871975473857,-0.221044194726897,-0.0157386410015606,-0.335584939705874,0.0951483054756809,0.209848432699135,-0.214439956050574,0.0633881759418131,-0.0179940698060561,0.368064141135209,-0.160065205588523,0.0474619729785393,0.0423349222010785,0.145518602643525,0.0827894895786178,0.258755628235336,-0.326130072945275,0.179200080013096,0.130710675945288,-0.292878526095304,-0.136332704404385,-0.0552643518374168,-0.542986929915043
"Aquatic_LWDens",-0.333165405974219,-0.497964589952337,-0.15163027871748,-0.183903271190982,0.117808924381735,1,0.233384343165713,0.0939105180048253,0.205467608720269,-0.20158213682527,-0.201839396946427,0.150468066893223,-0.151073192017599,0.473286299133144,-0.0858719923651515,-0.092179328945591,0.30921350741795,-0.0553032132827636,-0.266996826419362,0.261713999004533,0.0716071823767325,-0.0691847324143107,0.0493834923888837,0.040981569311183,-0.132190034958739,0.0144125582423154,-0.194881544332998,0.0214405403313208,0.139277529690189,-0.146703039619644,0.170370982555984,0.0273774369758351,0.134182109336508
"Aquatic_LWvolpL",0.0187412997036843,0.293347879779765,0.0501672466833745,0.111515989531018,0.31771258611447,0.233384343165713,1,0.132608725997821,-0.335139601406374,0.0703605603553128,0.58981172160318,-0.346098038408089,0.300535304205996,0.0267379680840647,-0.230114541159149,0.0492259889635719,0.0102084916243987,-0.146133970565781,0.0258395883550699,0.266491767232586,-0.174134488223996,-0.0398799928949062,-0.142535713784014,-0.0870767319047025,-0.165222997933783,0.01826923734485,-0.0266293862838649,0.311600404959803,-0.0719637272519733,-0.128977511213233,-0.00133596875989913,-0.0303435472782151,-0.172947098307884
"log10Terrestrial_Total_Live_Density",-0.0274251942571694,0.252659246786903,-0.126232218801104,0.383552604510414,0.6327851557588,0.0939105180048253,0.132608725997821,1,-0.47268225950795,-0.304184813104769,0.161439367078281,-0.107141835555001,-0.10525083658656,-0.251340023458365,0.0850196362150703,0.0604473802964013,-0.122034020406196,-0.105613203519284,0.119255010689265,0.0551859699043289,-0.206861841487308,0.082302161757565,0.0934458704366759,0.106319121418868,0.00107618217274049,0.0154425844923215,-0.212992759253065,0.139338461203524,0.117416765594271,-0.130449363538771,0.0947265081911746,-0.0423111695534082,-0.418581984450988
"Terrestrial_Ash_Live_Density_bi",-0.493347910178845,-0.126682287962519,0.0763231907763573,-0.255917760300972,-0.472153949385783,0.205467608720269,-0.335139601406374,-0.47268225950795,1,0.324392323482228,-0.276942786287761,0.368091202567956,-0.244713323712811,0.53058185445749,0.0809147997808298,-0.276512183654763,0.235008389042306,0.0967288188413169,-0.160545446676363,-0.320641379651596,0.0820770057077688,0.212325385467347,-0.214067328862719,-0.246476366781623,-0.304986017597697,-0.486685179681687,0.178678796777606,0.0892784758925777,0.0307915888516405,-0.0287331663546168,-0.291643705465905,0.000683982211971059,0.264667414832176
"Terrestrial_Basswood_Live_Density_bi",-0.322610545631627,0.311630531592418,0.177624246482817,0.346671988650735,-0.447460276842634,-0.20158213682527,0.0703605603553128,-0.304184813104769,0.324392323482228,1,0.507396569301626,0.022593342028602,0.234527687570312,0.0711438505804318,-0.06044173211469,-0.0887550659230175,0.355547212496665,0.447804812378286,0.156188279053492,-0.496172838236385,-0.066801226508439,-0.112652094470971,-0.330764927987331,0.0628243170087825,-0.544177656226104,-0.37277561788581,0.41724376262778,-0.171607383919785,-0.251002361298116,0.242467788980018,0.0734724347274102,-0.0497098996635381,0.207537121673777
"Terrestrial_Oak_Live_Density_bi",0.0366304332658793,0.594411067210713,0.130019181363568,0.459116174944704,0.149871975473857,-0.201839396946427,0.58981172160318,0.161439367078281,-0.276942786287761,0.507396569301626,1,-0.0655691945921537,0.535129226975321,-0.0237148231172248,-0.143160139931785,0.115078492448722,0.0173893382698423,0.110715629114288,0.113423082118792,0.143445388285747,-0.246630004245719,-0.146899613983328,-0.340392995543398,-0.00265679764406988,-0.267341715629258,-0.0890110651644857,0.550373572758953,-0.105917066697403,-0.0413338081323544,0.0644529032471391,0.0556738569344009,-0.119510723374769,-0.307807550771898
