"","Stream","Gap_location","Date","Watershed","Aquatic_Transect_width","Terrestrial_Transect_Live_Richness","Gap_Diameter","Gap_Area","Year_Gapformation","Terrestrial_Total_Snag_Density","Terrestrial_Ash_Snag_Density","Terrestrial_Elm_Snag_Density","Terrestrial_Total_CWD_Density_m","Terrestrial_Ash_CWD_Density_m","Terrestrial_Elm_CWD_Density_m","Terrestrial_1_CWD_Density_m","Terrestrial_2_CWD_Density_m","Terrestrial_3_CWD_Density_m","Terrestrial_Total_Live_Density","Terrestrial_Ash_Live_Density","Terrestrial_Elm_Live_Density","Terrestrial_Basswood_Live_Density","Terrestrial_Oak_Live_Density","Terrestrial_Cherry_Live_Density","Terrestrial_Hickory_Live_Density","Terrestrial_Acer_Live_Density","Terrestrial_Beech_Live_Density","Terrestrial_Buckthorn_Live_Density","Terrestrial_Walnut_Live_Density","Terrestrial_Hophornbeam_Live_Density","Terrestrial_Aspen_Live_Density","Aquatic_LWFreq","Aquatic_InSitFreq","Aquatic_LJFreq","Aquatic_LWDens","Aquatic_LWvolpL","Aquatic_LWvolpa","Aquatic_JvolpL","log10Gap_Area","log10Terrestrial_Total_Live_Density","Terrestrial_Ash_Live_Density_bi","Terrestrial_Elm_Live_Density_bi","Terrestrial_Basswood_Live_Density_bi","log10Terrestrial_Oak_Live_Density","Terrestrial_Cherry_Live_Density_bi","Terrestrial_Hickory_Live_Density_bi","log10Terrestrial_Acer_Live_Density","Terrestrial_Beech_Live_Density_bi","Terrestrial_Buckthorn_Live_Density_bi","Terrestrial_Hophornbeam_Live_Density_bi","Terrestrial_Aspen_Live_Density_bi","log10Terrestrial_Total_Snag_Density","Terrestrial_Elm_Snag_Density_bi","log10Terrestrial_Total_CWD_Density","log10Terrestrial_Ash_CWD_Density","log10Terrestrial_2_CWD_Density","log10Terrestrial_3_CWD_Density","log10Aquatic_InSitFreq_nz","log10Aquatic_LJFreq","log10Aquatic_LWDens","log10Aquatic_LWvolpL","log10Aquatic_LWvolpa","log10Aquatic_JvolpL","invAquatic_JvolpL","Timepoint","Days_since_start","ALL_Richness","ALL_prop_Ash","ALL_prop_Aspen","ALL_prop_Basswood","ALL_prop_Beech","ALL_prop_Hophornbeam","ALL_prop_Black_Cherry","ALL_prop_Black_Walnut","ALL_prop_Buckthorn","ALL_prop_Dogwood","ALL_prop_Elm","ALL_prop_Grass","ALL_prop_Maple","ALL_prop_Oak","ALL_prop_Unknown","ALL_prop_Woody_Debris","Weather","Water_temp","mS_cmc","mScm","X.DO","Doch","pH","pH_mV","ORP","NTU","Volt","Flow","log10mScm","sqrtWater_temp","log10ALL_prop_Oak","boxcoxALL_prop_Ash","boxcoxALL_prop_Maple","boxcoxALL_prop_Elm","boxcoxALL_prop_Basswood","boxcoxALL_prop_Hophornbeam","ALL_prop_Aspen_bi","ALL_prop_Beech_bi","ALL_prop_Cherry_bi","ALL_prop_Walnut_bi","ALL_prop_Buckthorn_bi","ALL_prop_Dogwood_bi","ALL_prop_Grass_bi"
"Stream",1,0,-0.225464318364584,NA,-0.561310258573657,-0.12000343502521,-0.660187131847969,-0.615244745974613,NA,0.438457779121618,0.53721398224522,0.0720249831750487,0.41314857550344,0.371851080939372,-0.108890862362259,0.383068153089551,0.517165320372411,0.113405994884426,-0.662678115734212,0.146840621690309,0.197440528064106,0.381699875459484,-0.689088425472986,-0.0180583186912852,0.227963508978388,-0.304637654771663,-0.143609856535485,0.0834931380902732,0.106252279022376,-0.0888655286844292,-0.650233308463388,-0.264945504846774,0.352013233617421,-0.345698626211408,0.0670080930578788,-0.315581452952541,-0.144639542284334,-0.468499823522053,-0.466510293163983,-0.618089739495177,0.372179895724464,0.258596166510198,0.261671208199276,-0.626045746794153,-0.212126205419647,0.41066986479992,-0.223146188187222,-0.150292930508272,-0.0725897644763475,-0.269348905079181,NA,0.311940254283886,0.0205642360936081,0.318709119597204,0.225988310588043,0.317181352069247,0.273102480894363,0.379736557397106,-0.395194473324889,0.0590667290242352,-0.301650711475366,-0.144548089316969,-0.48661777402439,0.504941908041897,-0.104437492266269,-0.0564879316046973,-0.170026749486005,0.212182539185858,-0.230556413742861,-0.14699289641546,-0.187769177875796,0.221432595710755,-0.130666518672794,0.059519937769553,-0.166044422607921,0.0274747223751421,-0.182447330486824,0.361033621303546,-0.204046906463194,0.103454852366724,0.180447112837845,0.165302010536044,-0.127439409225774,0.123617034667187,0.617866129490713,0.557876330979933,-0.0704983981536706,0.218840029310898,-0.064678372030493,0.0433989624716169,-0.070298829802145,-0.28737162472287,0.0801632585467665,0.391020512175385,0.541893308747795,0.100475993016194,0.125023648094461,-0.221033489969946,0.24212845242459,0.187219322342523,0.127902919185613,-0.22385729172658,-0.145644341113074,-0.253763220942652,-0.222055897159321,0.153720318156162,-0.490031146799035,-0.10549114208944,0.549043437901576
"Gap_location",0,1,0,0,0,-0.195673133364867,0,0,0,0.00427379393534352,-0.171709870088969,0,-0.068185475167686,-0.167197766371338,0.339361830070225,-0.154942162519377,0.219903735247258,-0.244477380925712,-0.0707084651132457,-0.623163802262098,0,-0.018429462314698,-0.201218267953347,0.207080842824806,7.105427357601e-12,0.208406069716932,0.131578953041521,0.417200632057964,0.328661266276392,-0.474727130472724,-0.288721514890194,-0.238684443315948,-0.292017124735586,-0.00914954200369283,-0.359159316716646,-0.00886562707925535,-0.115095102051555,0.481504820556773,0,-0.0534984703023478,-0.777091872998438,0,-0.435632703071987,-0.146452955072812,0.204629553220155,-7.105427357601e-12,0.198015864182453,-0.374488907172159,0.305806243604201,-0.350594591913785,-0.426806886939958,-0.135781162943462,0,-0.123497195264258,-0.316723221418115,0.430703511043316,-0.343865280729645,-0.104102738291299,-0.0377071216420098,-0.357165964302451,-0.22533818506533,-0.116393041019015,0.410445203230831,-0.338800831592307,0,0,-0.156460917568997,-0.126454234892298,-0.183824111303243,-0.139640579430774,0.0480351732541982,0.0895569501601383,-0.129647633066915,0.0069413432274072,-0.128836904018731,0.435532432314796,0.237972410167849,-0.0310020170588295,0.00349504002123153,-0.155882572606333,0.198246998341742,0.0202974099967928,0,-0.0139632121987324,0.0580904548351255,0.0291309807445677,-0.40438016381463,0.174775809908972,0.297867087834537,-0.298615720417485,0.259676855574324,0.163220108700803,-0.54699821976733,-7.105427357601e-12,0.0770482849300316,-0.0157883158517087,-0.136124599003454,0.130556750274342,0.00343067341196137,-0.212323723336482,0.118374456293859,-0.0636240703381321,-0.418019960615177,-0.0947986991459885,0,0,-0.234999751612217,0.958566100756759,0.157025454675321
"Date",-0.225464318364584,0,1,0.362343192666665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.229519059717781,-0.033493559262588,-0.0312372453465266,NA,0.129947271024193,-0.207508922991138,NA,-0.10481106959251,0.188769769748447,-0.125493428302635,0.295100223016678,NA,-0.137177921204719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.793964589075727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117233384298585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117619002898812,NA,NA,NA,NA,NA,NA,NA,NA,-0.193272361134915,0.0808024488626016,0.327450028217931,-0.210880341900179,0.0103901864427223,0.423223255056001,0.153345354291069
"Watershed",NA,0,0.362343192666665,1,0.603462670167441,0.178712820377446,0.591108331905551,0.501801175121665,0.9999,-0.503228420722561,-0.739661966394138,-0.0084446012499829,-0.423873872534558,-0.536301001942498,0.342451202683345,-0.408893499083457,-0.549890618749878,-0.134257206139802,0.682603261955958,-0.298536979699403,-0.100769749186117,-0.630358924952501,0.775178481572889,0.0586065302736758,-0.282601576132189,0.23246718488935,0.36886636670428,0.00571463169431898,-0.0118482230922618,0.0266868311812787,0.630381785223826,0.267841228729666,-0.54936170031422,0.309768490661665,-0.116980563923978,0.317292592017297,0.135461679959369,0.42018532308558,0.292713038862204,0.663482930120796,-0.55426813843393,-0.117266984953837,-0.403184805759091,0.718946913688375,0.287970444642785,-0.467710030074784,0.193800703170494,0.18026086863908,0.18962264835413,0.226898057327211,NA,-0.410617750230571,-0.02244003001589,-0.318729547964652,-0.368193154418064,-0.326018811653587,-0.336404303262977,-0.451318196569202,0.348361455952173,-0.107707994112309,0.316336643380088,0.135549141146481,0.445915034115921,-0.470136225979397,0.00580056157971809,0.117616544491245,0.297764931799205,-0.439029892736634,0.156936347984614,0.170586951075998,0.545893854219684,-0.362369074161128,0.0858154888606803,-0.0065461697721606,0.167576583911692,0.0205157882692189,0.265218378540902,-0.218968144616507,0.128134428169582,-0.0170730644788822,-0.186193730632454,-0.385928511589696,0.0734087292979928,-0.0748907244728965,-0.883185887238928,-0.782395102597966,0.0408713877151144,-0.296093708627595,0.0210296481436559,-0.0132216151952271,0.109007230221539,0.285102999033513,-0.104153819117435,-0.558694583909918,-0.745573457947379,-0.0534107685711705,-0.0390567840173317,0.421344587951369,-0.186568628148092,-0.246758750527145,-0.155505491247745,0.344219918153713,0.124850094838085,0.577359381955505,0.175119083638648,-0.0167493366028263,0.500625911257542,0.334646959802342,-0.342229230145062
"Aquatic_Transect_width",-0.561310258573657,0,NA,0.603462670167441,1,0.0562291505404272,0.606887564530838,0.542803582803286,0.413357265390277,-0.313142762784478,-0.361722397679477,-0.239864045822934,-0.419566545469762,-0.340906840474309,-0.0919333987736282,-0.364843387356325,-0.0579868353150434,-0.328376149319822,0.425416567310068,-0.168323690570244,-0.546297739559251,-0.231036365743178,0.541137742180657,0.400529192499959,-0.439020887793228,0.199464122404691,-0.0206330833555713,-0.230441855866328,-0.34847488644656,0.132743786849555,0.522713635244973,-0.0705689896193979,-0.435428832948851,0.186007437497891,-0.474433661923493,0.30515661230035,0.0160096676991676,0.470171981163014,0.459086422073681,0.377304893048865,-0.178650865771538,-0.713999345311054,0.298177494912125,0.673625986577056,0.561760662964472,-0.786903267733795,0.0316233427572386,-0.0127926945189174,-0.0434531855914699,0.259395325491252,0.965494545671625,-0.375816163514318,-0.16546497657834,-0.5277482501398,-0.369279142250773,-0.0464048163115099,-0.519434970659245,-0.298669690443084,0.23903419393474,-0.468755137696072,0.29565906721495,0.0156379720472414,0.485467284665815,-0.492439396285747,-0.0797366442920362,0.017055378926435,0.127118066217664,-0.266358324595806,0.145400317546909,0.243419546864369,-0.0930881328418993,-0.372489169756006,0.195187781801642,-0.196347086822633,0.0688782809155421,-0.136375885936396,0.00860296897895075,0.101498395872232,0.224781436697531,-0.120084801871954,-0.102274038487253,-0.271649493654735,0.138551172208091,-0.03794753004386,-0.646772034103615,-0.544770325934772,0.150995936693504,-0.258929750965493,-0.150774991853875,0.16646524608007,-0.230275574254331,0.287308221732324,0.069981342252222,-0.436641702859387,-0.483380492779165,-0.067367650683459,-0.136151084166342,0.253292237349456,-0.234647654615711,-0.00805213135881163,-0.263273673476988,0.374362046406189,0.259449649192988,-0.250599684932383,0.314786025489458,-0.537724654902798,0.302462142288792,-0.247485038574254,0.212164997880456
"Terrestrial_Transect_Live_Richness",-0.12000343502521,-0.195673133364867,NA,0.178712820377446,0.0562291505404272,1,-0.0814505395753001,-0.116086809939143,0.163350970184611,0.468097438171423,0.074447052123081,0.327039982620825,-0.123454108896051,-0.0258233589828473,-0.0674009260531474,0.113176264165926,0.0591758679397214,-0.290181044950556,-0.187894422781046,-0.0737253371867902,0.360358190580145,-0.0956525638923569,-0.184996636421047,0.218697951298113,-0.0862325342910424,-0.219488777571521,-0.0934479658245368,0.303242475093204,0.285567081476303,0.241655228052369,0.158649788816388,-0.216435430822489,-0.323616879456753,-0.263513327331753,-0.180501375331666,0.0760142950362267,0.0707773178531315,-0.33742427366964,-0.219767086120768,-0.0678118059129888,-0.0161733733814384,0.496134681033335,0.218454087517954,-0.0313746824493688,0.75326874217399,-0.152861488806991,0.0271925722599182,0.449204879944529,0.682167419263736,0.775269315937758,0.308153507304642,0.648048946201568,0.959477706719074,0.208719831192083,0.146028135260802,0.101401989854192,0.0500994917231621,-0.491118139056886,-0.185413810768933,-0.180518168688022,-0.0444092457641247,0.0692042758740476,-0.287704452799439,0.230364674813161,0.0187736940676464,-0.021527623340104,0.0750608436807466,-0.064999520534593,0.0490934440731224,0.00206815897220491,-0.119196431523291,-0.154147188297631,0.0286216047954772,0.10135551528289,0.185471654783944,0.0516189602992399,-0.106653561268635,-0.14128003742915,0.0722359547388323,0.0594399687489404,-0.0671708771991329,-0.036704701775084,-0.0216899490482806,0.0243750633845048,-0.235829292578663,-0.186507087899802,0.111227163521454,-0.203061929718612,0.0183056615979539,-0.044924999509109,0.0926072965023751,-0.123247821281287,0.176462607088852,-0.0239900072500203,-0.113779493946265,0.0369056759813069,0.0567399600211519,0.0388749188207122,-0.0249168671641133,0.0931545090059941,0.0141549342377742,0.140056757127086,-0.0717589947072605,0.217376736807093,-0.0246650077334153,0.25782620357963,0.527488793230699,-0.117526826659312,-0.246699854979885
"Gap_Diameter",-0.660187131847969,0,NA,0.591108331905551,0.606887564530838,-0.0814505395753001,1,0.992293745373818,0.463404288415451,-0.168521291124799,-0.121861767800954,-0.190261996183203,-0.245246583537101,-0.0943481671562732,-0.166221782447523,-0.195052609395229,-0.0805888240295691,-0.158002365713363,0.584891580413436,-0.155446604280556,-0.353840381383478,0.0334689256151851,0.651942597352873,0.322604221929607,-0.162992002603018,-0.00396482167899488,-0.195797069222537,-0.162050422885822,-0.264044995067492,-0.209942605583717,0.767348180005218,-0.0364422095753969,-0.154389563276781,0.130847690075914,-0.228028808814708,0.0995188965781912,-0.0692160594057024,0.425695741334445,0.937187419754282,0.435302065975295,-0.374825963808244,-0.841159313557044,0.391493965172096,0.641729699032066,0.163903971845105,-0.406670947176078,-0.210151134457884,-0.954461701095481,0.0979453040998568,-0.8314146377476,NA,-0.128124822471565,-0.816379422139229,-0.206161912138514,-0.114880091359184,0.0463009302842244,-0.189958393709777,-0.214098364224036,0.24289995961336,-0.22855507863583,0.108568135271788,-0.068959080073361,0.436536542772556,-0.447588114011217,0.0758417154913942,0.00322303153581764,0.0114742603490529,-0.0479200253259508,0.349626593028997,0.282723455747119,-0.22530228502877,-0.0830305324666266,0.00259736138960088,-0.148775328116934,0.165874295583417,-0.11312265101266,-0.0309987157794796,-0.143126867036739,-0.158571968916727,-0.198995212330678,0.149968916038171,-0.0407688913514041,0.0279127297409919,-0.106776089347435,-0.22621999213803,-0.233457298871751,0.0732666352393987,-0.0407355291321657,-0.270028368151517,0.313215092122398,-0.236137069174945,0.375181595036655,-0.0520247529442283,-0.412143818319477,-0.227715216975928,-0.119622676887317,-0.207553810013758,0.0569737119477764,0.147722896698069,0.0267187492283346,-0.282446648406733,0.0903918472585642,0.380835545454872,-0.89761804708112,0.11600237243731,-0.628572839212466,0.395784527350995,-0.533995055258959,-0.435866648910254
"Gap_Area",-0.615244745974613,0,NA,0.501801175121665,0.542803582803286,-0.116086809939143,0.992293745373818,1,0.405857221584107,-0.139617596264224,-0.0584934986771164,-0.21208216240559,-0.208855991122271,-0.0358725086093221,-0.199283291657274,-0.174449671993633,-0.0632033438811137,-0.123860792648694,0.551290711327825,-0.104374586539325,-0.378936098534829,0.0888603890975263,0.610739255847873,0.297350691088447,-0.135011319642238,-0.0116767890039366,-0.223068555539001,-0.19534025016105,-0.295762901733871,-0.201022863650482,0.748613989957493,-0.0312446874844848,-0.0722185409347913,0.120185701534365,-0.189990919907797,0.0859530898224048,-0.060182666214008,0.404600435811716,0.968124643041844,0.392499484450427,-0.246218448811906,-0.733019056726068,0.425667165066832,0.588667290412752,0.134184412769269,-0.294739387402035,-0.221130561823894,-0.929221238019849,0.0474605725601332,-0.769580161373796,NA,-0.0882767471079671,-0.807523979255039,-0.172304890977452,-0.0444015704596412,0.0656787312820753,-0.138375538556546,-0.153740382500047,0.232359859651857,-0.1910602768019,0.0970427610917133,-0.0599202650514892,0.411481988361348,-0.419597654789321,0.0959782125888759,-0.0120203043952046,-0.0293130043825394,-0.0031376728677492,0.357030965679124,0.255885980612775,-0.272094305996928,-0.0333563830393927,-0.00154025126400332,-0.166646683604156,0.151839369700362,-0.128038669368388,-0.0527960832319726,-0.175075991635301,-0.154678118471759,-0.213211956296678,0.155250117626173,-0.000420623715822621,0.0416215526967432,-0.112952576359769,-0.119246351786783,-0.148374530537892,0.0729419296349889,0.00131779729574118,-0.270534365428671,0.317107763728111,-0.249048541728413,0.367453171050523,-0.0500133949994268,-0.359507385316034,-0.152053266911214,-0.125172918723386,-0.219782756589435,0.0145671988991657,0.149773878890104,0.0474496133539156,-0.25409222779202,0.0431770355747355,0.380243466869142,-0.949944870279005,0.113029131506519,-0.668005785934021,0.384290547546612,-0.604008086554763,-0.566479062948491
"Year_Gapformation",NA,0,NA,0.9999,0.413357265390277,0.163350970184611,0.463404288415451,0.405857221584107,1,-0.391676146339664,-0.527572698977402,0.014967821715823,-0.357081580658101,-0.380476872716886,0.238912336704895,-0.321944270094544,-0.495862179609807,-0.0706295890295391,0.564238586634804,-0.211652651323435,-0.0404516354574935,-0.437528119610435,0.596747793853962,-0.0441465227908242,-0.192174700858027,0.241956407993409,0.249065166253212,0.0172341306789007,0.02071500623977,0.0506801313649706,0.445796502844639,0.283410348764268,-0.395217657094017,0.314185861677522,-0.0102573834224681,0.278211616639643,0.147046486445257,0.339279195373731,0.2418523459044,0.58336688014417,-0.443252800486946,-0.0225862107685378,-0.423481720858553,0.563366220616057,0.170745041076277,-0.325725593649511,0.221004180348325,0.22808704324639,0.158712695147458,0.263207776791338,0.931158577423953,-0.311110010745785,0.0408877305472441,-0.239926693284487,-0.251351522179369,-0.319551875743984,-0.228314083551216,-0.391293994687523,0.343519760781103,-0.00219283671061688,0.269406349197434,0.147058247456504,0.374491884511078,-0.407054444714121,0.0585381698757844,0.0908308402112968,0.231253142497424,-0.237580991941115,0.123186690451628,0.103449349914499,0.368264890252092,-0.224344317469016,0.0824212700404001,0.0116718055931277,0.141920649237885,0.0317712305455288,0.229510557805942,-0.272519612477174,0.148720805145491,-0.0241127876570934,-0.181906600314843,-0.1869239976975,0.0687739580795163,-0.0848930558609285,-0.677620555565232,-0.595966770399472,0.0273181146730041,-0.23766002490663,0.0854655524072064,-0.0768047000239222,0.152862225021171,0.180457631225591,-0.101943906728165,-0.412796857077207,-0.586247077909613,-0.0563619244451905,-0.0438944107728124,0.242405634388382,-0.198260221425428,-0.226332104462695,-0.0851878985156591,0.220356773439505,0.0684311554005649,0.564613147146696,0.150351576462906,0.0310378593494006,0.508631066998005,0.351438727726587,-0.415132459477926
"Terrestrial_Total_Snag_Density",0.438457779121618,0.00427379393534352,NA,-0.503228420722561,-0.313142762784478,0.468097438171423,-0.168521291124799,-0.139617596264224,-0.391676146339664,1,0.840906890187293,0.128332304592652,0.39009910357673,0.672095976281787,-0.156344942948769,0.510712215702452,0.581393486383034,-0.0742019245234453,-0.3984462095978,0.184646050943809,0.248216665460078,0.387324958443183,-0.374210540677126,0.0675663074969594,-0.225394959438855,-0.423486452469864,-0.261131210763873,0.453134787320944,0.324327871205327,-0.000918137531208687,-0.074221532630221,-0.192771754897834,0.304987435904187,-0.334789093089249,0.0356356874189934,-0.273300430440625,-0.151676538347673,-0.240494009270772,-0.0849116217533423,-0.385505645891134,0.502015703029835,0.405852282135213,0.496052961518423,-0.313671421958862,0.174993002659108,-0.554540781588406,-0.295875107823387,-0.383848486390078,0.707229165698782,0.0958065941761968,-0.114879040312539,0.822859364121191,0.206210481482714,0.510149768770781,0.591643683326588,0.453309435203556,0.313766791864313,0.11628033164256,-0.244962064355102,0.0311657392153079,-0.303464314947009,-0.152181663751352,-0.215551471806218,0.191385869616884,-0.0499374268472595,-0.118955164454231,-0.151336397426044,0.324571766322107,0.0583278256613991,0.00767346198098912,-0.286712510776773,0.0347294206260511,-0.155892635443303,0.0395322954350657,-0.0391379067229668,0.143565575884596,-0.173218111059481,-0.0949345428567635,-0.208467721684132,0.0453023632520627,0.13268243447419,0.155312509721413,0.0405196049757421,0.132432055627568,0.327738605635575,0.326310361268183,0.0301642304443595,0.163035682281789,-0.132055501113292,0.107767089058273,-0.141182756451734,-0.189257617906861,0.100824962518798,0.338390655274136,0.33510901002131,0.128981824461722,0.0568338277863746,-0.362682258216412,0.256190583673632,0.176751895111214,-0.0251234405925082,-0.0433056756468485,-0.00362173400920783,-0.264881318306967,-0.393101635982117,0.0748443750304949,-0.027018752727868,0.020938701062497,-0.123200226866979
