"","ALL_Richness","ALL_prop_Ash","ALL_prop_Aspen","ALL_prop_Basswood","ALL_prop_Beech","ALL_prop_Birch","ALL_prop_Black_Cherry","ALL_prop_Black_Walnut","ALL_prop_Buckthorn","ALL_prop_Dogwood","ALL_prop_Elm","ALL_prop_Grass","ALL_prop_Maple","ALL_prop_Oak","ALL_prop_Poplar"
"ALL_Richness",1,0.0454629418238444,0.053736032942922,0.250195978946842,0.384525887090436,0.054180680609916,0.0965394541648939,0.332014634368032,0.322690172029886,0.129089194741917,0.189880575258798,0.0701120882524217,-0.0116385798562367,0.0521356318504033,0.221773999303618
"ALL_prop_Ash",0.0454629418238444,1,0.572961969970608,-0.0636915831510659,-0.107313212209306,0.0722819486195394,-0.12601082467018,-0.0531476665079558,-0.0540717728170643,-0.0420801839983806,0.228996032264052,-0.0608884779091168,-0.091700575081599,-0.162735278393365,-0.0566520328501938
"ALL_prop_Aspen",0.053736032942922,0.572961969970608,1,-0.0276833508973609,-0.0679220044823147,-0.0498277598066095,-0.0822958057113725,0.0340310849556706,-0.0342026692985207,-0.0266174852854705,-0.043779443740493,-0.0385145218201275,-0.0882471278917295,-0.0679565257248116,-0.0358347922347501
"ALL_prop_Basswood",0.250195978946842,-0.0636915831510659,-0.0276833508973609,1,-0.185741348747256,-0.0998537155024099,0.36174777132779,-0.0843376228446669,-0.085804045257668,0.142511423745691,-0.0257706061205864,-0.0966211655730215,-0.0565466224517466,-0.271678173451917,-0.0575063895958388
"ALL_prop_Beech",0.384525887090436,-0.107313212209306,-0.0679220044823147,-0.185741348747256,1,-0.064435373474881,-0.0992120679200763,0.0850131972010103,0.107487795603586,0.0369263107453986,0.202566942867944,0.0527872109285992,-0.0329435260702569,0.143879395930233,-0.0652299970431136
"ALL_prop_Birch",0.054180680609916,0.0722819486195394,-0.0498277598066095,-0.0998537155024099,-0.064435373474881,1,-0.119252056658378,-0.0698897913226516,0.020539319626305,0.0164308516405841,-0.0921615730918367,-0.0797864505089954,-0.0995980399162938,-0.151493424644941,-0.0744980732749829
"ALL_prop_Black_Cherry",0.0965394541648939,-0.12601082467018,-0.0822958057113725,0.36174777132779,-0.0992120679200763,-0.119252056658378,1,-0.0941059182819612,-0.00992196454642787,-0.0576538610620708,-0.101241847754181,0.043579381492759,0.544171095120691,-0.305885127501583,0.0187994384810092
"ALL_prop_Black_Walnut",0.332014634368032,-0.0531476665079558,0.0340310849556706,-0.0843376228446669,0.0850131972010103,-0.0698897913226516,-0.0941059182819612,1,-0.0391110284929957,-0.0304373093317882,0.0330010646929144,-0.0440416666650712,-0.03014524240861,0.191972348743667,-0.0409773742482289
"ALL_prop_Buckthorn",0.322690172029886,-0.0540717728170643,-0.0342026692985207,-0.085804045257668,0.107487795603586,0.020539319626305,-0.00992196454642787,-0.0391110284929957,1,-0.0309665387680718,0.110954792531778,-0.0448074421864246,0.00635911422624863,-0.153187656155819,0.643801599927039
"ALL_prop_Dogwood",0.129089194741917,-0.0420801839983806,-0.0266174852854705,0.142511423745691,0.0369263107453986,0.0164308516405841,-0.0576538610620708,-0.0304373093317882,-0.0309665387680718,1,0.247959052526877,-0.0348704196934802,-0.0865533175483252,-0.171375794118363,-0.0324442362465313
"ALL_prop_Elm",0.189880575258798,0.228996032264052,-0.043779443740493,-0.0257706061205864,0.202566942867944,-0.0921615730918367,-0.101241847754181,0.0330010646929144,0.110954792531778,0.247959052526877,1,-0.0840405532839562,-0.091893283781318,-0.165828385343418,0.040509966798121
"ALL_prop_Grass",0.0701120882524217,-0.0608884779091168,-0.0385145218201275,-0.0966211655730215,0.0527872109285992,-0.0797864505089954,0.043579381492759,-0.0440416666650712,-0.0448074421864246,-0.0348704196934802,-0.0840405532839562,1,-0.108642639314682,0.0285450799428929,0.118694261309825
"ALL_prop_Maple",-0.0116385798562367,-0.091700575081599,-0.0882471278917295,-0.0565466224517466,-0.0329435260702569,-0.0995980399162938,0.544171095120691,-0.03014524240861,0.00635911422624863,-0.0865533175483252,-0.091893283781318,-0.108642639314682,1,-0.293142220521314,-0.0886148576217742
"ALL_prop_Oak",0.0521356318504033,-0.162735278393365,-0.0679565257248116,-0.271678173451917,0.143879395930233,-0.151493424644941,-0.305885127501583,0.191972348743667,-0.153187656155819,-0.171375794118363,-0.165828385343418,0.0285450799428929,-0.293142220521314,1,-0.179712533704183
"ALL_prop_Poplar",0.221773999303618,-0.0566520328501938,-0.0358347922347501,-0.0575063895958388,-0.0652299970431136,-0.0744980732749829,0.0187994384810092,-0.0409773742482289,0.643801599927039,-0.0324442362465313,0.040509966798121,0.118694261309825,-0.0886148576217742,-0.179712533704183,1
