"","Stream","Watershed","Gap_location","Aquatic_Transect_width","Terrestrial_Transect_Live_Richness","Gap_Diameter","Gap_Area","Year_Gapformation","Terrestrial_Total_Snag_Density","Terrestrial_Ash_Snag_Density","Terrestrial_Elm_Snag_Density","Terrestrial_Total_CWD_Density_m","Terrestrial_Ash_CWD_Density_m","Terrestrial_Elm_CWD_Density_m","Terrestrial_1_CWD_Density_m","Terrestrial_2_CWD_Density_m","Terrestrial_3_CWD_Density_m","Terrestrial_Total_Live_Density","Terrestrial_Ash_Live_Density","Terrestrial_Elm_Live_Density","Terrestrial_Basswood_Live_Density","Terrestrial_Oak_Live_Density","Terrestrial_Cherry_Live_Density","Terrestrial_Hickory_Live_Density","Terrestrial_Acer_Live_Density","Terrestrial_Beech_Live_Density","Terrestrial_Buckthorn_Live_Density","Terrestrial_Walnut_Live_Density","Terrestrial_Hophornbeam_Live_Density","Terrestrial_Aspen_Live_Density","Aquatic_LWFreq","Aquatic_InSitFreq","Aquatic_LJFreq","Aquatic_LWDens","Aquatic_LWvolpL","Aquatic_LWvolpa","Aquatic_JvolpL"
"Stream",1,NA,0,-0.396484655194201,-0.0407531285340164,-0.656954846566817,-0.618281294550263,NA,0.522640569448375,0.595408258003206,0.0523041326780784,0.40833655910257,0.425303216969656,-0.153166187047467,0.46455656191187,0.591413544725476,0.0120988731889791,-0.686859368458858,0.135442531706236,0.140353217358373,0.358761483442448,-0.688950947453427,0.0520189428059688,0.169043206741384,-0.303511267690453,-0.179570531390972,0.129770865772726,0.0774387818839552,-0.091870055836461,-0.64631640558506,-0.331323286778862,0.272008451825648,-0.330194271388047,-0.0583350729980729,-0.327512861595607,-0.207094344822046,-0.343863817380743
"Watershed",NA,1,0,0.459608625051826,0.107023526798476,0.544583608095632,0.459005238111224,0.999900013057999,-0.569032180201271,-0.750560775963652,0,-0.396442110750268,-0.537278286674089,0.413032351375574,-0.476212835816214,-0.604719486379908,-0.000724209996671489,0.698813914744279,-0.285703067462719,-0.0685679173112915,-0.663568239725002,0.771758378683986,-0.0372208188573951,-0.244329459116688,0.235736610004171,0.440091430647666,-0.047165896596925,0,0.0487683338371354,0.603806962449797,0.362721626946957,-0.479603825909577,0.301056011281927,0.0267958906884275,0.350680516799623,0.220906989680237,0.294722550154479
"Gap_location",0,0,1,0,-0.158410826636679,0,0,1.4210854715202e-13,0.0228827420192718,-0.113178246232265,0,-0.0971896728970206,-0.160455780146821,0.413032351375574,-0.130046656258924,0.230499782614302,-0.311702688608407,-0.0915433851675879,-0.599573052338684,0,0.0174457143570014,-0.254333863274792,0.277428872121943,0,0.191278786602438,0.243814790903991,0.379173400290185,0.313788240032778,-0.451315669170341,-0.275620264595556,-0.211920304552072,-0.281765636151379,0.0614355949137419,-0.325129264681733,-0.0195621540377449,-0.111519307660728,0.447831993081891
"Aquatic_Transect_width",-0.396484655194201,0.459608625051826,0,1,0.0707051544942181,0.56160653731062,0.49063194162637,0.237874120169733,-0.134007906452974,-0.164952047968965,-0.248828454446176,-0.290598875578344,-0.199451193608356,-0.0956489568738901,-0.207269476972239,0.0686503442731897,-0.2999645604636,0.337324220538367,-0.170284166709548,-0.555839348551145,-0.201354132256849,0.471536006723986,0.383053209149073,-0.446326287744751,0.150862686694063,-0.0399879190752827,-0.200469621907983,-0.358798848065403,0.106418247478734,0.479455149712639,-0.108614987855396,-0.435019871847873,0.142417127516734,-0.494327729523009,0.268549463444038,-0.0182501819597842,0.455427714639863
"Terrestrial_Transect_Live_Richness",-0.0407531285340164,0.107023526798476,-0.158410826636679,0.0707051544942181,1,-0.0767731490092667,-0.108667688205676,0.080582296402538,0.520720465989337,0.222105623934348,0.30149926745755,-0.0365536314834899,0.108812751688876,-0.128836780420654,0.22831232973395,0.187264435344998,-0.301222435010364,-0.190101618901017,-0.0487594776116668,0.329584528453619,-0.0992803510269981,-0.187059072332287,0.168560606060606,-0.0833333333333333,-0.177524588415401,-0.150815667726376,0.332243016038225,0.26086186029041,0.23665076426961,0.143274884340057,-0.17516206919997,-0.327731277354301,-0.238131624573989,-0.158728297182652,0.0348813981442519,0.0237216842778415,-0.230126380630742
"Gap_Diameter",-0.656954846566817,0.544583608095632,0,0.56160653731062,-0.0767731490092667,1,0.991755177821962,0.405329934749851,-0.147578412582077,-0.110948778544595,-0.173194753407832,-0.241277802721542,-0.106381887262875,-0.160328364126038,-0.18210627294583,-0.104274264693873,-0.14846257022327,0.569084705159612,-0.138372796168029,-0.316361682900369,0.0387038473846151,0.60251737999489,0.28201045928688,-0.139836807124022,0.0229456618625886,-0.182269808996748,-0.151788385126301,-0.239387463285098,-0.194817419227911,0.771692596130184,-0.0394111869955816,-0.148268343199246,0.136310388362174,-0.209496312770276,0.0845671380427941,-0.0726231827743645,0.399972765943392
"Gap_Area",-0.618281294550263,0.459005238111224,0,0.49063194162637,-0.108667688205676,0.991755177821962,1,0.358465428496782,-0.132472588501181,-0.0708016000686427,-0.189617294608003,-0.218602303142868,-0.0665513731555057,-0.192005418297254,-0.17182101473686,-0.101716777838447,-0.121613212269515,0.539348923367068,-0.0839720200877172,-0.33117499233877,0.0927733909463186,0.557790609386791,0.256272879777119,-0.106355609733215,0.0226506086054537,-0.208486330112822,-0.181745325176113,-0.263493769333176,-0.181743050491682,0.753709989193618,-0.0352394776536067,-0.0659228235885195,0.129548578710966,-0.170110604542843,0.0685910853224395,-0.0650512454674501,0.377831343108884
"Year_Gapformation",NA,0.999900013057999,1.4210854715202e-13,0.237874120169733,0.080582296402538,0.405329934749851,0.358465428496782,1,-0.452051084175142,-0.546376597347639,0.0286010355720677,-0.343166533568125,-0.408200591320632,0.275863604956785,-0.390207298283751,-0.559264486691287,0.0417005914022481,0.572541084408043,-0.18859923251214,0.00250948140109042,-0.423356892422184,0.584949307736135,-0.114463489208151,-0.141019018704442,0.249842290093368,0.286204865355471,-0.0434155219395656,0.0394140895238236,0.0778050370834645,0.401051403682825,0.360502649837741,-0.305947617650349,0.298379640671015,0.122167572378446,0.30388923601749,0.226119535392885,0.209929888113829
"Terrestrial_Total_Snag_Density",0.522640569448375,-0.569032180201271,0.0228827420192718,-0.134007906452974,0.520720465989337,-0.147578412582077,-0.132472588501181,-0.452051084175142,1,0.904332196802281,0.0741142921576917,0.469297536042367,0.763251858357117,-0.187944238655312,0.685579919245611,0.699337262974042,-0.128799765362729,-0.402442572060285,0.170105276112818,0.139223556230985,0.258432400095529,-0.341004992566403,0.0154548715127172,-0.195894041118992,-0.32778529466741,-0.256975395056147,0.463579489314153,0.210426624821768,-0.0236693969405173,-0.084228314899774,-0.155626623999156,0.180689706637853,-0.221109333937136,-0.0279510349813925,-0.261928455253036,-0.198410703876685,0.0135239840701674
"Terrestrial_Ash_Snag_Density",0.595408258003206,-0.750560775963652,-0.113178246232265,-0.164952047968965,0.222105623934348,-0.110948778544595,-0.0708016000686427,-0.546376597347639,0.904332196802281,1,-0.0912195443766264,0.573838389996228,0.886121390775078,-0.182458656451284,0.785290065578469,0.700919865513779,0.00153704746445095,-0.329260252600403,0.324562066571787,-0.0259605413816719,0.351152845700067,-0.29280735726143,-0.13974781379088,-0.0888583909708275,-0.237157846628104,-0.174223391502377,0.214482770752823,-0.0485543446192218,0.0167768864205236,-0.117237093552467,0.0118432190453832,0.421222014165808,-0.0174912399907365,0.149500832120723,-0.211449636200939,-0.113539610483538,0.0905969807207499
