"","Terrestrial_Transect_Live_Richness","log10Terrestrial_Total_Live_Density","Terrestrial_Ash_Live_Density_bi","Terrestrial_Elm_Live_Density_bi","Terrestrial_Basswood_Live_Density_bi","Terrestrial_Oak_Live_Density_bi","Terrestrial_Cherry_Live_Density_bi","Terrestrial_Hickory_Live_Density_bi","Terrestrial_Beech_Live_Density_bi","Terrestrial_Buckthorn_Live_Density_bi","Terrestrial_Hophornbeam_Live_Density_bi","Terrestrial_Aspen_Live_Density_bi","Terrestrial_Acer_Live_Density_bi","L.Dim.1","L.Dim.2","L.Dim.3","L.Dim.4","L.Dim.5"
"Terrestrial_Transect_Live_Richness",1,-0.141255423062533,0.0170418686655769,0.386833271421401,0.18681486373131,0.133040899467209,0.618798468832522,-0.311524518610653,0.153418281159499,0.471051409114638,0.495252331448128,0.0339577296174283,0.331103108831268,-0.0762814479351759,0.940968117508406,0.0243203326351325,0.223743152283738,0.109695145740104
"log10Terrestrial_Total_Live_Density",-0.141255423062533,1,-0.603664581652565,0.29347336599839,-0.364033607460806,0.255825285349498,0.135695735052065,0.0836190333057746,-0.133879796642737,-0.24915835821269,0.0327136872790376,0.212640373938941,0.141317962682006,0.080479388739424,-0.081249014110245,0.808934442469434,-0.142458461513262,-0.229038928930662
"Terrestrial_Ash_Live_Density_bi",0.0170418686655769,-0.603664581652565,1,-0.525356787429142,0.187010777924756,-0.283654223526703,-0.368814066077293,-0.306417189605533,0.142500264353016,0.136983790106902,0.25332775102338,-0.42000949482707,0.119434827734089,0.0315044578792287,0.0895632764953455,-0.927117793871862,-0.0314816562838511,-0.402950660342303
"Terrestrial_Elm_Live_Density_bi",0.386833271421401,0.29347336599839,-0.525356787429142,1,-0.640157526884504,-0.371484524436608,0.0439170197972795,0.444844494179416,-0.039615499319145,0.299986168393089,0.0503496188227931,-0.264647640424133,0.651413105006684,0.570192417270832,0.323765857029356,0.558956819310586,0.416162539537362,0.0706159135276871
"Terrestrial_Basswood_Live_Density_bi",0.18681486373131,-0.364033607460806,0.187010777924756,-0.640157526884504,1,0.703938593956146,0.508951332977716,-0.764957949098168,-0.320544861036665,0.269274355927371,-0.153546145590905,0.738468995416471,-0.816996643711402,-0.941642638033151,0.0844451317988007,-0.251639165520099,0.0446007667030391,0.113998952023423
"Terrestrial_Oak_Live_Density_bi",0.133040899467209,0.255825285349498,-0.283654223526703,-0.371484524436608,0.703938593956146,1,0.806439776195581,-0.74911639276665,-0.223630300059222,-0.0766558807750425,0.13388760423009,0.761174937817479,-0.649994867597287,-0.868028679058714,0.177146422114377,0.354898316562392,-0.288555695900195,-0.125155119929187
"Terrestrial_Cherry_Live_Density_bi",0.618798468832522,0.135695735052065,-0.368814066077293,0.0439170197972795,0.508951332977716,0.806439776195581,1,-0.568057272975116,0.0774480083397377,0.0265312704729084,0.436960998072911,0.509127746020227,-0.252287570897427,-0.588123052442543,0.654801367420875,0.391798031807027,-0.232985253608089,0.0906815839367163
"Terrestrial_Hickory_Live_Density_bi",-0.311524518610653,0.0836190333057746,-0.306417189605533,0.444844494179416,-0.764957949098168,-0.74911639276665,-0.568057272975116,1,0.38623019167859,-0.352517113944283,-0.204306526251602,-0.534751567185594,0.447570465415985,0.808142242333032,-0.332512070098659,0.128576610295526,-0.0324837306436969,0.498928381486454
"Terrestrial_Beech_Live_Density_bi",0.153418281159499,-0.133879796642737,0.142500264353016,-0.039615499319145,-0.320544861036665,-0.223630300059222,0.0774480083397377,0.38623019167859,1,-0.704062765251897,0.707808935187122,-0.627931709093773,0.424958146330867,0.449963444848232,0.362787278335711,-0.243209300605307,-0.753176779929975,0.282706985369694
"Terrestrial_Buckthorn_Live_Density_bi",0.471051409114638,-0.24915835821269,0.136983790106902,0.299986168393089,0.269274355927371,-0.0766558807750425,0.0265312704729084,-0.352517113944283,-0.704062765251897,1,-0.356682626967347,0.296325488695892,0.00206453313224965,-0.205061318955843,0.226946948603984,-0.0709022384454607,0.92418311735951,-0.135523084198594
